"Rubro";"Descripcion";"Rubro_Padre";"Activo";"Orden";"RubroNuevoID";"MensajeBaja"
"501";"THERMO SWITCH";"500";"Y";"75";\N;\N
"502";"BULONES Y TUERCAS DE RUEDA";"500";"Y";"12";\N;\N
"503";"SUSPENSION - PRECAPS";"500";"Y";"58";\N;""
"504";"FRENO  - DISCOS DE - 555";"500";"Y";"33";\N;\N
"505";"BOMBA DE NAFTA - NUK";"500";"Y";"6";\N;\N
"507";"FAROS - OPTICAS - TYC-DEPO";"500";"Y";"30";\N;\N
"508";"SENSORES";"500";"Y";"55";\N;\N
"509";"FAROS -  VARIOS";"500";"Y";"29";\N;\N
"510";"BOMBA DE NAFTA - FILTRO DE";"500";"Y";"7";\N;\N
"511";"SUSPENSION - BRAZO AUXILIAR";"500";"Y";"59";\N;\N
"512";"BUJIAS - CABLES DE";"500";"Y";"8";\N;\N
"513";"EMBRAGUE - BOMBAS DE - BGF";"500";"Y";"22";\N;\N
"514";"REPUESTOS VARIOS KOREA LEGITIMOS";"500";"Y";"52";\N;\N
"515";"CLIPS";"500";"Y";"14";\N;\N
"516";"TAPAS DE RADIADOR Y ACEITE";"500";"Y";"50";\N;""
"517";"TAPAS Y ROTORES DE DISTRIBUIDOR";"500";"Y";"73";\N;\N
"518";"SUSPENSION - ROTULAS";"500";"Y";"57";\N;""
"519";"SUSPENSION - BRAZO TENSOR";"500";"Y";"63";\N;\N
"520";"PATAS DE MOTOR , CAJA Y CAZOLETAS";"500";"Y";"48";\N;\N
"521";"FRENO - CILINDROS DE - BGF";"500";"Y";"32";\N;\N
"522";"SUSPENSION - PARRILAS DE";"500";"Y";"68";\N;\N
"524";"ENGRANAJES DE CAJA";"500";"Y";"25";\N;\N
"526";"SUSPENSION - EXTREMO DE  - 555";"500";"Y";"56";\N;""
"527";"SUSPENSION . CRUCETAS";"500";"Y";"66";\N;\N
"529";"SUSPENSION - BRAZO PITMAN";"500";"Y";"62";\N;\N
"530";"SUSPENSION - BIELETAS DELANTERAS Y TRASERAS";"500";"Y";"61";\N;\N
"531";"EMBRAGUE - RULEMAN DE EMPUJE";"500";"Y";"24";\N;\N
"532";"FAROS - GIROS O ESQUINEROS - TYC Y DEPO";"500";"Y";"27";\N;\N
"533";"FAROS - TRASEROS - TYC Y DEPO";"500";"Y";"28";\N;\N
"534";"EMBLEMAS";"500";"Y";"21";\N;\N
"535";"TERMOSTATOS";"500";"Y";"74";\N;\N
"536";"BUJIAS PREENCENDIDO - DREIK TAIWAN";"500";"Y";"10";\N;\N
"537";"SUSPENSION - EJE DE PARRILLA";"500";"Y";"67";\N;\N
"538";"MANGUERAS VARIAS";"500";"Y";"45";\N;\N
"539";"BUJIAS PREENCENDIDO - HKT JAPON";"500";"Y";"9";\N;\N
"540";"SUSPENSION - BUJES DE";"500";"Y";"64";\N;\N
"541";"BULBOS - TAMA JAPON";"500";"Y";"11";\N;\N
"542";"SUSPENSION - BARRAS CENTRALES";"500";"Y";"60";\N;\N
"543";"PALETAS DE VENTILADOR";"500";"Y";"47";\N;\N
"544";"MAZAS DE RUEDA CON BULONES";"500";"Y";"46";\N;\N
"545";"EMBRAGUE - BOMBIN DE - BGF";"500";"Y";"23";\N;\N
"546";"FRENO - PASTILLAS Y ZAPATAS";"500";"Y";"34";\N;\N
"547";"TAPAS CUBRE CORREAS";"500";"Y";"72";\N;\N
"549";"FRENO - BOMBAS DE - BGF";"500";"Y";"31";\N;\N
"000";"L.MOTOR";\N;"Y";"2";\N;\N
"001";"BOMBA DE ACEITE JUEGO DE REPARACION  YSK";"000";"Y";"15";\N;\N
"002";"BUJES DE ARBOL DE LEVAS - JUEGOS DE";"000";"Y";"21";\N;\N
"305";"GARGANTAS, PORTATERMOSTATOS Y PIPAS";"500";"Y";"40";\N;\N
"005";"MULTIPLES";"000";"Y";"79";\N;\N
"006";"CAÑO INYECTOR DE ACEITE";"000";"Y";"29";\N;\N
"007";"BUJES DE BALANCEADOR -JUEGOS DE";"000";"Y";"22";\N;\N
"008";"POLEAS";"000";"Y";"84";\N;\N
"009";"ARBOL BALANCEADOR";"000";"Y";"2";\N;\N
"575";"SUSPENSION - CAZOLETAS DE AMORTIGUADOR";"500";"Y";"65";\N;\N
"011";"VALVULAS - PASTILLAS REGULADORA DE";"000";"Y";"107";\N;\N
"903";"INSTALACION BOMBA DE AGUA";"900";"Y";"508";\N;\N
"904";"DESGASTE DE CAMISAS";"900";"Y";"507";\N;\N
"014";"COJINETES DE BIELA-JUEGO DE - NDC - LLE - TDC";"000";"Y";"35";\N;\N
"905";"CATALOGO DE POLEAS";"900";"Y";"509";\N;\N
"016";"SUBCONJUNTOS CON AROS JAPON";"000";"Y";"91";\N;\N
"601";"ENCAMISADO MOTOR ISUZU 4JA1-4JB1 Y 4JG2";"900";"Y";"511";\N;\N
"018";"CAÑO RETORNO DE GASOIL";"000";"Y";"28";\N;\N
"019";"DISTRIBUCIO - FRENTES DE";"000";"Y";"46";\N;\N
"020";"BIELAS BRAZOS DE";"000";"Y";"9";\N;\N
"021";"BALANCINES";"000";"Y";"7";\N;\N
"022";"ARBOL DE LEVAS JUEGO DE TORRETAS";"000";"Y";"3";\N;\N
"103";"HOMOCINETICAS";"500";"Y";"43";\N;\N
"78";"MANIJAS DE PUERTAS";"500";"Y";"44";\N;\N
"025";"VALVULA DE ADMISION S.ICHI - DOKURO";"000";"Y";"101";\N;\N
"026";"PERNO DE PISTON";"000";"Y";"80";\N;\N
"027";"DISTRIBUCION - KIT COMPLETO";"000";"Y";"49";\N;\N
"028";"BULONES VARIOS";"000";"Y";"25";\N;\N
"029";"BUJES DE BIELA-JUEGOS DE";"000";"Y";"23";\N;\N
"030";"TAPAS DE CILINDRO";"000";"Y";"96";\N;\N
"031";"TOBERAS";"000";"Y";"97";\N;\N
"033";"AROS TAIWAN JUEGO DE";"000";"Y";"4";\N;\N
"034";"VALVULAS - JUEGO DE GUIAS DE";"000";"Y";"104";\N;\N
"035";"DISTRIBUCION - ENGRANAJE DE";"000";"Y";"45";\N;\N
"036";"BALANCINES - EJE DE";"000";"Y";"8";\N;\N
"037";"CONJUNTOS RIK JAPON";"000";"Y";"40";\N;\N
"038";"BOMBA DE ACEITE YSK - TBK - NOZUMI";"000";"Y";"12";\N;""
"039";"JUNTAS - JUEGOS DE JUNTAS COMPLETO CON RETENES - ERISTIC - MATTO";"000";"Y";"73";\N;\N
"040";"AROS JAPON TP-RIK-NPR-NOZUMI JUEGO DE";"000";"Y";"5";\N;""
"041";"JUNTAS DE ADMISION Y ESCAPE";"000";"Y";"77";\N;\N
"042";"SUBCONJUNTOS CON AROS TAIWAN";"000";"Y";"90";\N;\N
"043";"VALVULA DE ESCAPE S.ICHI - DOKURO";"000";"Y";"102";\N;\N
"046";"SUBCONJUNTOS OFERTA IMPORTADO FM";"000";"Y";"92";\N;\N
"047";"JUNTAS VARIAS";"000";"Y";"78";\N;\N
"049";"CAMISA";"000";"Y";"26";\N;\N
"050";"BOMBA DE ACEITE ENGRANAGE MANDO DE YSK";"000";"Y";"16";\N;\N
"053";"BOMBAS DE ACEITE - CADENA DE";"000";"Y";"14";\N;\N
"054";"COJINETES DE BANCADA-JUEGO DE - NDC - LLE - TDC";"000";"Y";"33";\N;\N
"056";"DISTRIBUCION - TENSORES HIDRAULICO";"000";"Y";"52";\N;\N
"057";"PRECAMARA";"000";"Y";"85";\N;\N
"058";"CONJUNTOS CON ARO JAPON";"000";"Y";"37";\N;\N
"059";"VALVULAS - VARILLA LEVANTADORA DE";"000";"Y";"106";\N;\N
"060";"CONJUNTOS OFERTA IMPORTADO FM";"000";"Y";"38";\N;\N
"061";"JUNTAS TAPA DE VALVULAS";"000";"Y";"76";\N;\N
"063";"CORONAS DE ARRANQUE";"000";"Y";"39";\N;\N
"064";"DISTRIBUCIO - GUIAS TENSORAS";"000";"Y";"47";\N;\N
"066";"DISTRIBUCION- TENSORES DE CADENA";"000";"Y";"50";\N;\N
"067";"PISTONES CON PERNO TIK Y NOZUMI";"000";"Y";"81";\N;""
"069";"FILTROS DE ACEITE";"000";"N";"56";\N;\N
"070";"DISTRIBUCION - CORREAS DE";"000";"Y";"44";\N;\N
"071";"COJINETES AXIALES-JUEGO DE - NDC - LLE - TDC";"000";"Y";"31";\N;\N
"072";"CAMISA ACERO";"000";"Y";"27";\N;\N
"074";"BLOCK-SEMIARMADOS Y MOTORES";"000";"Y";"11";\N;\N
"075";"OIL COOLER - REFRIGERADORES DE ACEITE";"000";"Y";"86";\N;""
"076";"VALVULAS - REGISTRO DE";"000";"Y";"105";\N;\N
"500";"L.GENERAL";\N;"Y";"3";\N;\N
"078";"RETENES - JUEGO DE VALVULAS";"000";"Y";"89";\N;\N
"079";"PISTON CON PERNO OFERTA IMPORTADO FM";"000";"Y";"83";\N;\N
"081";"SUBCONJUNTO RIK-NOZUMI JAPON";"000";"Y";"93";\N;""
"083";"TURBOS";"000";"Y";"100";\N;\N
"085";"BULON DE BIELA";"000";"Y";"24";\N;\N
"088";"TORNILLOS DE TAPA DE CILINDRO - JUEGO";"000";"Y";"98";\N;\N
"089";"BOTADORES";"000";"Y";"20";\N;\N
"091";"CIGÜEÑALES";"000";"Y";"30";\N;\N
"096";"JUNTAS DE TAPA DE CILINDROS ERISTIC - MATTO";"000";"Y";"75";\N;\N
"098";"DISTRIBUCION - CADENAS DE";"000";"Y";"42";\N;\N
"099";"BOMBA DE AGUA VISCOSO DE  SHIMAHIDE-NUK-NOZUMI";"000";"Y";"18";\N;""
"003";"RETENES";"000";"Y";"88";\N;\N
"101";"FILTRO COMBUSTIBLE";"000";"N";"68";\N;\N
"560";"RADIADORES";"500";"Y";"49";\N;\N
"570";"CAÑOS DE AGUA DE ALUMINIO Y CHAPA";"500";"Y";"13";\N;\N
"600";"SALIENTE DE PISTONES DIESEL";"900";"Y";"510";\N;\N
"105";"BOMBA DE AGUA GMB - NUK";"000";"Y";"17";\N;\N
"700";"FILTROS DE AIRE";"500";"Y";"36";\N;\N
"701";"FILTROS DE ACEITE";"500";"Y";"37";\N;\N
"111";"CONJUNTOS CON ARO TAIWAN";"000";"Y";"36";\N;\N
"112";"ARBOL DE LEVAS";"000";"Y";"1";\N;\N
"115";"DISTRIBUCION - TENSORES CORREA J.MEN - GMB";"000";"Y";"51";\N;\N
"900";"NOTAS TECNICAS Y CATALOGOS";\N;"Y";"1";\N;\N
"901";"TORQUES";"900";"Y";"502";\N;\N
"902";"CABEZA DE PISTONES";"900";"Y";"504";\N;""
"702";"FILTROS DE COMBUSTIBLE";"500";"Y";"38";\N;\N
"703";"FILTROS DE HABITACULO";"500";"Y";"39";\N;\N
"610";"RULEMANES DE RUEDA";"500";"Y";"53";"500";""
"980";"BOBINA - MODULOS DE IGNISION  Y CAPTORES";"500";"Y";"2";\N;""
"120";"Espejos";"500";"Y";"26";\N;""
"650";"AMORTIGUADORES";"500";"Y";"1";\N;""
"100";"DISTRIBUCION TENSOR Y POLEA DE A/C Y ALTERNADOR";"000";"Y";"53";\N;""
"611";"RULEMAN O MANCHON DE CARDAN";"500";"Y";"54";\N;""
"651";"BOMBAS DE DIRECCION HIDRAULICAS";"500";"Y";"4";\N;""
"910";"CIGUEÑALES";"900";"Y";"610";\N;""
"150";"FRENO FLEXIBLES";"500";"Y";"35";\N;""
"981";"INYECTOR DE COMBUSTIBLE";"500";"Y";"41";\N;""
"200";"VALVULAS RESORTES DE";"000";"Y";"108";\N;""
